trade_date,instrument,direction,contracts,entry_price,stop_points,trim1_points,trim2_points,trim1_hit,trim2_hit,gross_pnl,net_pnl,trades,wins,losses,breakeven_trades,win_rate,avg_risk,avg_reward,rr_ratio,trims,notes,largest_win,largest_loss,max_drawdown
2024-01-01,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,220.0,208.59999999999997,3,1,2,0,0.3333333333333333,40.0,300.0,7.5,2,"Full TP, Stopped Out, Stopped Out",296.2,-43.8,0.0
2024-01-02,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,311.4,300.0,3,2,1,0,0.6666666666666666,40.0,175.7,4.3925,2,"Stopped Out, Trim 1 + BE, Target Hit (+$247.60)",247.6,-43.8,0.0
2024-01-03,MNQ,Long,2,0.0,10.0,50.0,100.0,False,False,-160.0,-175.2,4,0,4,0,0.0,40.0,0.0,0.0,0,"Stopped Out, Stopped Out, Stopped Out, Stopped Out",0.0,-43.8,0.0
2024-01-04,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,307.6,300.0,2,2,0,0,1.0,40.0,153.8,3.845,2,"Full TP, Target Hit (+$3.80)",296.2,0.0,0.0
2024-01-05,MNQ,Long,2,0.0,10.0,50.0,100.0,False,False,-200.0,-219.0,5,0,5,0,0.0,40.0,0.0,0.0,0,"Stopped Out, Stopped Out, Stopped Out, Stopped Out, Stopped Out",0.0,-43.8,0.0
2024-01-08,MNQ,Long,2,0.0,10.0,50.0,100.0,False,False,-80.0,-87.6,2,0,2,0,0.0,40.0,0.0,0.0,0,"Stopped Out, Stopped Out",0.0,-43.8,0.0
2024-01-09,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,260.0,252.39999999999998,2,1,1,0,0.5,40.0,300.0,7.5,2,"Full TP, Stopped Out",296.2,-43.8,0.0
2024-01-10,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,160.0,148.60000000000002,3,2,1,0,0.6666666666666666,40.0,100.0,2.5,1,"Trim 1 + BE, Stopped Out, Trim 1 + BE",96.2,-43.8,0.0
2024-01-11,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,307.6,300.0,2,2,0,0,1.0,40.0,153.8,3.845,2,"Trim 1 + BE, Target Hit (+$203.80)",203.8,0.0,0.0
2024-01-12,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,300.0,288.6,3,3,0,0,1.0,40.0,100.0,2.5,1,"Trim 1 + BE, Trim 1 + BE, Trim 1 + BE",96.2,0.0,0.0
2024-01-15,MNQ,Long,2,0.0,10.0,50.0,100.0,False,False,-40.0,-43.8,1,0,1,0,0.0,40.0,0.0,0.0,0,Stopped Out,0.0,-43.8,0.0
2024-01-16,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,315.20000000000005,300.0,4,2,2,0,0.5,40.0,197.60000000000002,4.94,2,"Stopped Out, Full TP, Stopped Out, Target Hit (+$91.40)",296.2,-43.8,0.0
2024-01-17,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,60.0,52.400000000000006,2,1,1,0,0.5,40.0,100.0,2.5,1,"Stopped Out, Trim 1 + BE",96.2,-43.8,0.0
2024-01-18,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,307.6,300.0,2,2,0,0,1.0,40.0,153.8,3.845,2,"Full TP, Target Hit (+$3.80)",296.2,0.0,0.0
2024-01-19,MNQ,Long,2,0.0,10.0,50.0,100.0,False,False,-120.0,-131.39999999999998,3,0,3,0,0.0,40.0,0.0,0.0,0,"Stopped Out, Stopped Out, Stopped Out",0.0,-43.8,0.0
2024-01-22,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,307.6,300.0,2,2,0,0,1.0,40.0,153.8,3.845,2,"Full TP, Target Hit (+$3.80)",296.2,0.0,0.0
2024-01-23,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,311.40000000000003,300.0,3,2,1,0,0.6666666666666666,40.0,175.70000000000002,4.3925,2,"Stopped Out, Full TP, Target Hit (+$47.60)",296.2,-43.8,0.0
2024-01-24,MNQ,Long,2,0.0,10.0,50.0,100.0,False,False,-80.0,-87.6,2,0,2,0,0.0,40.0,0.0,0.0,0,"Stopped Out, Stopped Out",0.0,-43.8,0.0
2024-01-25,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,315.2,300.0,4,4,0,0,1.0,40.0,78.8,1.97,1,"Trim 1 + BE, Trim 1 + BE, Trim 1 + BE, Target Hit (+$11.40)",96.2,0.0,0.0
2024-01-26,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,280.0,261.0,5,2,3,0,0.4,40.0,200.0,5.0,2,"Stopped Out, Stopped Out, Stopped Out, Full TP, Trim 1 + BE",296.2,-43.8,0.0
2024-01-29,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,220.0,208.59999999999997,3,1,2,0,0.3333333333333333,40.0,300.0,7.5,2,"Full TP, Stopped Out, Stopped Out",296.2,-43.8,0.0
2024-01-30,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,307.6,300.0,2,2,0,0,1.0,40.0,153.8,3.845,2,"Full TP, Target Hit (+$3.80)",296.2,0.0,0.0
2024-01-31,MNQ,Long,2,0.0,10.0,50.0,100.0,False,False,-40.0,-43.8,1,0,1,0,0.0,40.0,0.0,0.0,0,Stopped Out,0.0,-43.8,0.0
2024-02-01,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,40.0,17.200000000000017,6,2,4,0,0.3333333333333333,40.0,100.0,2.5,1,"Trim 1 + BE, Stopped Out, Stopped Out, Stopped Out, Stopped Out, Trim 1 + BE",96.2,-43.8,0.0
2024-02-02,MNQ,Long,2,0.0,10.0,50.0,100.0,True,False,100.0,96.2,1,1,0,0,1.0,40.0,100.0,2.5,1,Trim 1 + BE,96.2,0.0,0.0
2024-02-05,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,220.0,208.59999999999997,3,1,2,0,0.3333333333333333,40.0,300.0,7.5,2,"Stopped Out, Full TP, Stopped Out",296.2,-43.8,0.0
2024-02-06,MNQ,Long,2,0.0,10.0,50.0,100.0,True,True,280.0,261.0,5,2,3,0,0.4,40.0,200.0,5.0,2,"Stopped Out, Stopped Out, Full TP, Stopped Out, Trim 1 + BE",296.2,-43.8,0.0
